Customer ID,Region,State,City,Postal Code,AddressID,Category,Sub-Category,CategoryID,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country,Product ID,Product Name,Sales,Quantity,Discount,Profit,Catalogue price,Supplier price
CG-12520,South,Kentucky,Henderson,42420,A000001,Furniture,Bookcases,C0001,1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,Claire Gute,Consumer,United States,FUR-BO-10001798,Bush Somerset Collection Bookcase,26195,2,0.0,4191,13097,11002
CG-12520,South,Kentucky,Henderson,42420,A000001,Furniture,Chairs,C0002,2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,Claire Gute,Consumer,United States,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",73194,3,0.0,21958,24398,17078
DV-13045,West,California,Los Angeles,90036,A000002,Office Supplies,Labels,C0013,3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,Darrin Van Huff,Corporate,United States,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,1462,2,0.0,687,731,387
SO-20335,South,Florida,Fort Lauderdale,33311,A000003,Furniture,Tables,C0003,4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,Sean O'Donnell,Consumer,United States,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,95757,5,0.45,-38303,34821,26812
SO-20335,South,Florida,Fort Lauderdale,33311,A000003,Office Supplies,Storage,C0012,5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,Sean O'Donnell,Consumer,United States,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,2236,2,0.2,251,1397,992
BH-11710,West,California,Los Angeles,90032,A000004,Furniture,Furnishings,C0004,6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,United States,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",4886,7,0.0,1416,698,495
BH-11710,West,California,Los Angeles,90032,A000004,Office Supplies,Art,C0011,7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,United States,OFF-AR-10002833,Newell 322,728,4,0.0,196,182,132
BH-11710,West,California,Los Angeles,90032,A000004,Technology,Phones,C0014,8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,United States,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,90715,6,0.2,9071,18899,13607
BH-11710,West,California,Los Angeles,90032,A000004,Office Supplies,Binders,C0010,9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,United States,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,1850,3,0.2,578,771,424
BH-11710,West,California,Los Angeles,90032,A000004,Office Supplies,Appliances,C0009,10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,United States,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,11490,5,0.0,3447,2298,1608
